file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\controladores\ControladorLineas.java,died.izaguirre.haulet.tp.controladores.ControladorLineas$Anonymous1,anonymous,1,1,0,1,3,1,0,9,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\menuparadas\CrearParada.java,died.izaguirre.haulet.tp.gui.menuparadas.CrearParada,class,5,8,3,5,15,6,0,25,67,0.8095239,0.10989011,0.15384616,15,0,14,1,0,0,14,0,0,0,7,0,0,7,0,0,1,0,0,175,7,0,0,0,0,14,86,68,0,23,2,0,0,0,74,1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\controladores\ControladorLineas.java,died.izaguirre.haulet.tp.controladores.ControladorLineas$Anonymous3,anonymous,5,5,0,5,11,1,0,13,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0,3,1,3,1,8,6,0,6,2,0,0,0,29,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\principal\Principal.java,died.izaguirre.haulet.tp.gui.principal.Principal$Anonymous1,anonymous,1,1,0,1,2,1,0,8,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,1,0,2,0,2,0,2,1,0,0,0,12,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\controladores\ControladorLineas.java,died.izaguirre.haulet.tp.controladores.ControladorLineas$Anonymous2,anonymous,6,6,0,6,11,1,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,52,2,1,2,2,0,15,0,9,0,8,3,0,0,0,51,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\principal\Principal.java,died.izaguirre.haulet.tp.gui.principal.Principal$Anonymous2,anonymous,2,2,0,2,2,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,7,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\controladores\ControladorLineas.java,died.izaguirre.haulet.tp.controladores.ControladorLineas$Anonymous5,anonymous,0,0,0,0,4,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,4,0,0,1,0,1,1,0,0,0,6,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\controladores\ControladorLineas.java,died.izaguirre.haulet.tp.controladores.ControladorLineas$Anonymous4,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\tablas\Camino.java,died.izaguirre.haulet.tp.tablas.Camino,class,2,13,11,2,19,1,0,3,57,0.74666667,0.22857143,0.45714286,15,0,15,0,0,0,15,0,0,0,5,0,0,5,0,0,0,0,0,57,7,0,4,0,3,2,1,11,1,6,0,0,0,0,22,1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\controladores\ControladorCrearParada.java,died.izaguirre.haulet.tp.controladores.ControladorCrearParada,class,9,11,2,9,11,1,0,25,1,0.5714286,NaN,NaN,7,0,1,6,0,0,1,0,0,0,2,0,0,2,0,0,0,0,5,59,3,0,0,1,0,6,0,6,0,8,3,1,0,2,48,1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\tablas\Boleto.java,died.izaguirre.haulet.tp.tablas.Boleto,class,2,7,5,2,11,1,0,1,22,0.7037037,0.19444445,0.30555555,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,34,4,0,2,0,3,0,0,6,0,4,0,0,0,0,16,1,0
D:\JAVA\Sivaaraj\sanjeev\project\tpdied-master\tp\src\main\java\died\izaguirre\haulet\tp\gui\incidencias\CrearIncidencia.java,died.izaguirre.haulet.tp.gui.incidencias.CrearIncidencia$Anonymous1,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
