file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\OpenAndClose\MobileNotificationService.java,com.prashant.solid.OpenAndClose.MobileNotificationService,class,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\SingleResponsibility\PrinterService.java,com.prashant.solid.SingleResponsibility.PrinterService,class,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\OpenAndClose\WhatsAppNotificationService.java,com.prashant.solid.OpenAndClose.WhatsAppNotificationService,class,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Impl\SocialVideoCallManager.java,com.prashant.solid.InterfaceSegregation.Impl.SocialVideoCallManager,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\SingleResponsibility\NotificationService.java,com.prashant.solid.SingleResponsibility.NotificationService,class,0,0,0,0,3,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,1,0,0,0,7,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\dependecyInversion\DebitCard.java,com.prashant.solid.dependecyInversion.DebitCard,class,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Impl\Instagram.java,com.prashant.solid.InterfaceSegregation.Impl.Instagram,class,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\UPIPayments.java,com.prashant.solid.InterfaceSegregation.UPIPayments,interface,0,3,3,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\SingleResponsibility\LoanService.java,com.prashant.solid.SingleResponsibility.LoanService,class,0,0,0,0,4,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,0,1,0,0,0,7,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Model\Facebook.java,com.prashant.solid.InterfaceSegregation.Model.Facebook,class,1,1,0,1,4,2,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\GooglePay.java,com.prashant.solid.InterfaceSegregation.GooglePay,class,2,2,0,2,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Paytm.java,com.prashant.solid.InterfaceSegregation.Paytm,class,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Impl\SocialMedia.java,com.prashant.solid.InterfaceSegregation.Impl.SocialMedia,interface,0,2,2,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Model\SocialMedia.java,com.prashant.solid.InterfaceSegregation.Model.SocialMedia,class,0,3,3,0,4,1,3,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1025,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Model\Whatsapp.java,com.prashant.solid.InterfaceSegregation.Model.Whatsapp,class,1,1,0,1,4,2,0,0,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
D:\JAVA\Sivaaraj\sanjeev\project\OOPs-SOLID-Design-Principle-master\OOPs-SOLID-Design-Principle-master\src\main\java\com\prashant\solid\InterfaceSegregation\Impl\PostMediaManager.java,com.prashant.solid.InterfaceSegregation.Impl.PostMediaManager,interface,0,1,1,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
