file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\MainUI.java,UI.MainUI$Anonymous5,mouseClicked/1[java.awt.event.MouseEvent],false,65,1,14,0,14,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\MainUI.java,UI.MainUI$Anonymous4,mouseClicked/1[java.awt.event.MouseEvent],false,58,1,14,0,14,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\MainUI.java,UI.MainUI$Anonymous3,mouseClicked/1[java.awt.event.MouseEvent],false,51,1,14,0,14,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\PurchaseUI.java,UI.PurchaseUI$Anonymous1,mouseClicked/1[java.awt.event.MouseEvent],false,63,1,14,0,14,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Purchase.java,BO.Purchase,setTotalAmount/1[double],false,24,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Purchase.java,BO.Purchase,setVendorName/1[java.lang.String],false,16,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Purchase.java,BO.Purchase,getTotalAmount/0,false,20,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Purchase.java,BO.Purchase,getVendorName/0,false,12,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\MainUI.java,UI.MainUI$Anonymous2,mouseClicked/1[java.awt.event.MouseEvent],false,44,1,14,0,14,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,setPurchaseList/1[java.util.List<BO.Purchase>],false,30,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getDamageOfADate/1[BO.JDateChooser],false,152,3,2,1,1,5,5,9,1,1,1,5,0,0,1,3,0,0,0,0,1,0,2,0,0,0,11,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getDamageList/0,false,42,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getSalesOfADate/1[BO.JDateChooser],false,126,3,2,1,1,5,5,9,1,1,1,5,0,0,1,3,0,0,0,0,1,0,2,0,0,0,12,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getPurchaseOfADate/1[BO.JDateChooser],false,139,3,2,1,1,5,5,9,1,1,1,5,0,0,1,3,0,0,0,0,1,0,2,0,0,0,11,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getProductList/0,false,18,1,5,5,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getShop/0,false,59,1,14,13,1,2,0,6,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getPurchaseList/0,false,26,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,setProductList/1[java.util.List<BO.Product>],false,22,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,addSale/1[BO.Sale],false,86,3,6,1,5,4,6,14,2,0,1,6,0,0,1,1,0,0,2,0,0,1,3,0,0,0,13,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,Shop/0,true,50,4,1,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getSalesList/0,false,34,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,setDamageList/1[java.util.List<BO.Damage>],false,46,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,getShop/1[java.util.List<BO.Product>],false,67,2,1,0,1,1,1,5,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,5,9,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,addPurchase/1[BO.Purchase],false,101,3,6,1,5,3,6,9,1,0,1,6,0,0,1,1,0,0,1,0,0,1,2,0,0,0,8,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,addDamage/1[BO.Damage],false,112,3,6,1,5,4,6,14,2,0,1,6,0,0,1,1,0,0,2,0,0,1,3,0,0,0,11,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,setSalesList/1[java.util.List<BO.Sale>],false,38,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\BO\Shop.java,BO.Shop,enlistProduct/1[BO.Product],false,73,1,3,1,2,4,3,12,3,0,1,3,0,0,1,2,0,0,3,0,0,0,2,0,0,0,10,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\MainUI.java,UI.MainUI$Anonymous1,mouseClicked/1[java.awt.event.MouseEvent],false,37,1,14,0,14,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,false
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\stationaryshopmanagement\StationaryShopManagement.java,stationaryshopmanagement.StationaryShopManagement,main/1[java.lang.String[]],false,14,1,1,0,1,7,9,28,0,0,1,9,0,0,1,0,1,0,1,0,0,0,3,1,0,0,21,9,0,true
D:\JAVA\Sivaaraj\sanjeev\project\Stationary-Shop-Management-main\Stationary-Shop-Management-main\src\UI\ReportUI.java,UI.ReportUI,jButton1MouseClicked/1[java.awt.event.MouseEvent],false,186,5,9,1,8,2,11,10,0,2,1,11,1,1,1,0,0,0,6,0,2,0,1,0,0,0,21,2,0,false
